rank,name,skillId,source,installCount,detailPath,detailUrl
21,microsoft-foundry,microsoft-foundry,/microsoft/github-copilot-for-azure,137212,microsoft/github-copilot-for-azure/microsoft-foundry,https://skills.sh/microsoft/github-copilot-for-azure/microsoft-foundry
22,azure-messaging,azure-messaging,/microsoft/github-copilot-for-azure,125897,microsoft/github-copilot-for-azure/azure-messaging,https://skills.sh/microsoft/github-copilot-for-azure/azure-messaging
23,azure-observability,azure-observability,/microsoft/github-copilot-for-azure,115487,microsoft/github-copilot-for-azure/azure-observability,https://skills.sh/microsoft/github-copilot-for-azure/azure-observability
24,agent-browser,agent-browser,/vercel-labs/agent-browser,106535,vercel-labs/agent-browser/agent-browser,https://skills.sh/vercel-labs/agent-browser/agent-browser
25,azure-hosted-copilot-sdk,azure-hosted-copilot-sdk,/microsoft/github-copilot-for-azure,106136,microsoft/github-copilot-for-azure/azure-hosted-copilot-sdk,https://skills.sh/microsoft/github-copilot-for-azure/azure-hosted-copilot-sdk
26,vercel-composition-patterns,vercel-composition-patterns,/vercel-labs/agent-skills,88713,vercel-labs/agent-skills/vercel-composition-patterns,https://skills.sh/vercel-labs/agent-skills/vercel-composition-patterns
27,skill-creator,skill-creator,/anthropics/skills,88401,anthropics/skills/skill-creator,https://skills.sh/anthropics/skills/skill-creator
28,azure-compute,azure-compute,/microsoft/github-copilot-for-azure,71057,microsoft/github-copilot-for-azure/azure-compute,https://skills.sh/microsoft/github-copilot-for-azure/azure-compute
29,ui-ux-pro-max,ui-ux-pro-max,/nextlevelbuilder/ui-ux-pro-max-skill,67141,nextlevelbuilder/ui-ux-pro-max-skill/ui-ux-pro-max,https://skills.sh/nextlevelbuilder/ui-ux-pro-max-skill/ui-ux-pro-max
30,vercel-react-native-skills,vercel-react-native-skills,/vercel-labs/agent-skills,62174,vercel-labs/agent-skills/vercel-react-native-skills,https://skills.sh/vercel-labs/agent-skills/vercel-react-native-skills
31,ai-image-generation,ai-image-generation,/inferen-sh/skills,61752,inferen-sh/skills/ai-image-generation,https://skills.sh/inferen-sh/skills/ai-image-generation
32,ai-video-generation,ai-video-generation,/inferen-sh/skills,61035,inferen-sh/skills/ai-video-generation,https://skills.sh/inferen-sh/skills/ai-video-generation
33,nano-banana-2,nano-banana-2,/inferen-sh/skills,60551,inferen-sh/skills/nano-banana-2,https://skills.sh/inferen-sh/skills/nano-banana-2
34,twitter-automation,twitter-automation,/inferen-sh/skills,60512,inferen-sh/skills/twitter-automation,https://skills.sh/inferen-sh/skills/twitter-automation
35,agent-tools,agent-tools,/inferen-sh/skills,60457,inferen-sh/skills/agent-tools,https://skills.sh/inferen-sh/skills/agent-tools
36,remotion-render,remotion-render,/inferen-sh/skills,60359,inferen-sh/skills/remotion-render,https://skills.sh/inferen-sh/skills/remotion-render
37,qwen-image-2,qwen-image-2,/inferen-sh/skills,60291,inferen-sh/skills/qwen-image-2,https://skills.sh/inferen-sh/skills/qwen-image-2
