rank,name,source,installCount,trustScore,verified,benchmarkScore,url
192,ai-sdk-core,/jezweb/claude-skills,42,9.7,True,70,https://raw.githubusercontent.com/jezweb/claude-skills/refs/heads/main/skills/ai-sdk-core/SKILL.md
193,Plugin Settings,/anthropics/claude-code,42,8.8,True,99,https://raw.githubusercontent.com/anthropics/claude-code/refs/heads/main/plugins/plugin-dev/skills/plugin-settings/SKILL.md
194,social-media-analyzer,/alirezarezvani/claude-skills,42,8.9,True,95,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/marketing-skill/social-media-analyzer/SKILL.md
195,risk-management-specialist,/alirezarezvani/claude-skills,42,8.9,True,82,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/ra-qm-team/risk-management-specialist/SKILL.md
196,tanstack-query-best-practices,/DeckardGer/tanstack-agent-skills,42,,,,https://raw.githubusercontent.com/DeckardGer/tanstack-agent-skills/refs/heads/main/skills/tanstack-query/SKILL.md
197,using-superpowers,/obra/superpowers,41,9.5,True,18,https://raw.githubusercontent.com/obra/superpowers/refs/heads/main/skills/using-superpowers/SKILL.md
198,authjs-skills,/gocallum/nextjs16-agent-skills,41,,False,72,https://raw.githubusercontent.com/gocallum/nextjs16-agent-skills/refs/heads/main/skills/authjs-skills/SKILL.md
201,isms-audit-expert,/alirezarezvani/claude-skills,41,8.9,True,100,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/ra-qm-team/isms-audit-expert/SKILL.md
202,ui-web,/alinaqi/claude-bootstrap,41,8.7,True,88,https://raw.githubusercontent.com/alinaqi/claude-bootstrap/refs/heads/main/skills/ui-web/SKILL.md
203,executing-plans,/obra/superpowers,40,9.5,True,99,https://raw.githubusercontent.com/obra/superpowers/refs/heads/main/skills/executing-plans/SKILL.md
204,nano-banana-prompting,/nikiforovall/claude-code-rules,40,10,True,78,https://raw.githubusercontent.com/nikiforovall/claude-code-rules/refs/heads/main/plugins/handbook-nano-banana/skills/nano-banana-prompting/SKILL.md
205,vani-async-client-only,/itsjavi/vani,40,9.3,True,80,https://raw.githubusercontent.com/itsjavi/vani/refs/heads/main/skills/vani-async-client-only/SKILL.md
206,shadcn-ui,/existential-birds/beagle,40,,False,95,https://raw.githubusercontent.com/existential-birds/beagle/refs/heads/main/plugins/beagle-react/skills/shadcn-ui/SKILL.md
207,web-perf,/cloudflare/skills,40,8.8,True,98,https://raw.githubusercontent.com/cloudflare/skills/refs/heads/main/skills/web-perf/SKILL.md
208,java-coding-standards,/affaan-m/everything-claude-code,40,9.4,True,82,https://raw.githubusercontent.com/affaan-m/everything-claude-code/refs/heads/main/skills/java-coding-standards/SKILL.md
209,redis-js,/upstash/redis-js,39,8.5,True,,https://raw.githubusercontent.com/upstash/redis-js/refs/heads/main/skills/SKILL.md
210,zustand-state-management,/jezweb/claude-skills,39,9.7,True,88,https://raw.githubusercontent.com/jezweb/claude-skills/refs/heads/main/skills/zustand-state-management/SKILL.md
211,senior-fullstack,/davila7/claude-code-templates,39,10,True,42,https://raw.githubusercontent.com/davila7/claude-code-templates/refs/heads/main/cli-tool/components/skills/development/senior-fullstack/SKILL.md
212,langchain,/davila7/claude-code-templates,39,10,True,,https://raw.githubusercontent.com/davila7/claude-code-templates/refs/heads/main/cli-tool/components/skills/ai-research/agents-langchain/SKILL.md
213,gdpr-dsgvo-expert,/alirezarezvani/claude-skills,39,8.9,True,78,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/ra-qm-team/gdpr-dsgvo-expert/SKILL.md
214,better-auth,/zircote/.claude,38,,,,https://raw.githubusercontent.com/zircote/.claude/refs/heads/main/skills/better-auth/SKILL.md
215,prompt-engineering-patterns,/wshobson/agents,38,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/llm-application-dev/skills/prompt-engineering-patterns/SKILL.md
216,data-storytelling,/wshobson/agents,38,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/business-analytics/skills/data-storytelling/SKILL.md
217,bash-defensive-patterns,/wshobson/agents,38,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/shell-scripting/skills/bash-defensive-patterns/SKILL.md
218,nestjs,/pluginagentmarketplace/custom-plugin-nodejs,38,,False,72,https://raw.githubusercontent.com/pluginagentmarketplace/custom-plugin-nodejs/refs/heads/main/skills/nestjs/SKILL.md
219,Writing Hookify Rules,/anthropics/claude-code,38,8.8,True,100,https://raw.githubusercontent.com/anthropics/claude-code/refs/heads/main/plugins/hookify/skills/writing-rules/SKILL.md
220,fda-consultant-specialist,/alirezarezvani/claude-skills,38,8.9,True,96,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/ra-qm-team/fda-consultant-specialist/SKILL.md
221,ui-ux-pro-max,/VoTruongDanh/Sentiment,38,,False,87,https://raw.githubusercontent.com/VoTruongDanh/Sentiment/refs/heads/main/.agent/skills/ui-ux-pro-max/SKILL.md
222,hybrid-search-implementation,/wshobson/agents,37,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/llm-application-dev/skills/hybrid-search-implementation/SKILL.md
223,better-auth,/vibery-studio/templates,37,,,,https://raw.githubusercontent.com/vibery-studio/templates/refs/heads/main/skills/better-auth/SKILL.md
224,motion,/onmax/nuxt-skills,37,9.6,True,100,https://raw.githubusercontent.com/onmax/nuxt-skills/refs/heads/main/skills/motion/SKILL.md
225,component-refactoring,/langgenius/dify,37,8.9,True,100,https://raw.githubusercontent.com/langgenius/dify/refs/heads/main/.agents/skills/component-refactoring/SKILL.md
226,typescript,/alinaqi/claude-bootstrap,37,8.7,True,96,https://raw.githubusercontent.com/alinaqi/claude-bootstrap/refs/heads/main/skills/typescript/SKILL.md
227,nextjs-data-fetching,/JosiahSiegel/claude-plugin-marketplace,37,,False,,https://raw.githubusercontent.com/JosiahSiegel/claude-plugin-marketplace/refs/heads/main/plugins/nextjs-master/skills/nextjs-data-fetching/SKILL.md
228,DevOps & Deployment,/ArieGoldkin/ai-agent-hub,37,,,,https://raw.githubusercontent.com/ArieGoldkin/ai-agent-hub/refs/heads/main/skills/devops-deployment/SKILL.md
229,anti-reversing-techniques,/wshobson/agents,36,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/reverse-engineering/skills/anti-reversing-techniques/SKILL.md
230,accessibility-compliance,/wshobson/agents,36,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/ui-design/skills/accessibility-compliance/SKILL.md
231,tailwind,/tartinerlabs/skills,36,7.5,True,90,https://raw.githubusercontent.com/tartinerlabs/skills/refs/heads/main/skills/tailwind/SKILL.md
232,subagent-driven-development,/obra/superpowers,36,9.5,True,72,https://raw.githubusercontent.com/obra/superpowers/refs/heads/main/skills/subagent-driven-development/SKILL.md
233,requesting-code-review,/obra/superpowers,36,9.5,True,72,https://raw.githubusercontent.com/obra/superpowers/refs/heads/main/skills/requesting-code-review/SKILL.md
234,dispatching-parallel-agents,/obra/superpowers,36,9.5,True,72,https://raw.githubusercontent.com/obra/superpowers/refs/heads/main/skills/dispatching-parallel-agents/SKILL.md
235,tauri,/martinholovsky/claude-skills-generator,36,7.7,False,97,https://raw.githubusercontent.com/martinholovsky/claude-skills-generator/refs/heads/main/skills/tauri/SKILL.md
236,go,/grafana/loki,36,9.7,True,100,https://raw.githubusercontent.com/grafana/loki/refs/heads/main/.cursor/skills/go/SKILL.md
237,react-patterns,/giuseppe-trisciuoglio/developer-kit,36,7.5,True,86,https://raw.githubusercontent.com/giuseppe-trisciuoglio/developer-kit/refs/heads/main/plugins/developer-kit-typescript/skills/react-patterns/SKILL.md
238,playwright-testing,/fcakyon/claude-codex-settings,36,9.4,True,72,https://raw.githubusercontent.com/fcakyon/claude-codex-settings/refs/heads/main/plugins/playwright-tools/skills/playwright-testing/SKILL.md
239,commit,/davila7/claude-code-templates,36,10,True,82,https://raw.githubusercontent.com/davila7/claude-code-templates/refs/heads/main/cli-tool/components/skills/sentry/commit/SKILL.md
240,app-router,/davepoon/claude-code-subagents-collection,36,9.5,True,100,https://raw.githubusercontent.com/davepoon/claude-code-subagents-collection/refs/heads/main/plugins/nextjs-expert/skills/app-router/SKILL.md
241,ms365-tenant-manager,/alirezarezvani/claude-skills,36,8.9,True,72,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/ms365-tenant-manager/SKILL.md
242,marketing-demand-acquisition,/alirezarezvani/claude-skills,36,8.9,True,78,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/marketing-skill/marketing-demand-acquisition/SKILL.md
