rank,rankType,officialRank,officialMarketShare,estimatedScore,title,source,libraryId,popularityRank,snippets,tokens,updateUtc,updateAgo,trustScore,verified,benchmarkScore,type,docsRepoUrl,docsSiteUrl,score_popularity,score_snippets,score_tokens,score_trust,score_verified,score_recency
774,estimated,,,0.508401,Unreal Python StubHub,/radial-hks/unreal-python-stubhub,,3430,57781,4663145,2025-05-07T06:56:06.852000Z,10mo,7.7,,,repo,https://github.com/radial-hks/unreal-python-stubhub,,0.340656,0.761295,0.809913,0.77,0.0,0.087192
775,estimated,,,0.508325,FullCalendar,/fullcalendar/fullcalendar-docs,,722,1350,173232,2025-10-12T20:36:41.387000Z,5mo,8.3,,82.4,repo,https://github.com/fullcalendar/fullcalendar-docs,,0.492667,0.500516,0.636233,0.83,0.0,0.161726
776,estimated,,,0.508256,Runpod,/runpod/docs,,3422,801,284040,2026-01-25T22:13:28.034000Z,1mo,9.4,True,76.8,repo,https://github.com/runpod/docs,,0.340884,0.464307,0.662314,0.94,1.0,0.372986
777,estimated,,,0.508237,LangChainJS,/langchain-ai/langchainjs,,2491,339,80233,2026-02-22T22:03:11.726000Z,22d,9.2,True,77.7,repo,https://github.com/langchain-ai/langchainjs,,0.371871,0.404722,0.595635,0.92,1.0,0.572093
778,estimated,,,0.508231,RisingWave,/risingwavelabs/risingwave-docs,,4349,2406,572634,2025-08-22T21:11:57.143000Z,6mo,9.6,True,80.4,repo,https://github.com/risingwavelabs/risingwave-docs,,0.317489,0.540616,0.699296,0.96,1.0,0.126863
779,estimated,,,0.508194,PaperMC Documentation,/papermc/docs,,2649,490,186542,2026-01-02T19:08:09.594000Z,2mo,9.7,True,78.8,repo,https://github.com/papermc/docs,,0.36587,0.430239,0.640137,0.97,1.0,0.289685
780,estimated,,,0.508129,Algolia InstantSearch,/algolia/instantsearch,,3253,191,55225,2026-03-12T13:28:10.252000Z,4d,10,True,88.5,repo,https://github.com/algolia/instantsearch,,0.345827,0.365045,0.575934,1.0,1.0,0.86215
781,estimated,,,0.508098,Form.io,/formio/formio.js,,4519,2173,456128,2025-10-13T08:30:33.099000Z,5mo,9.9,True,79.9,repo,https://github.com/formio/formio.js,,0.313747,0.533547,0.687298,0.99,1.0,0.162159
782,estimated,,,0.508045,Pest,/pestphp/docs,,911,415,65848,2026-03-10T18:55:52.033000Z,6d,8.4,,94.5,repo,https://github.com/pestphp/docs,,0.469997,0.41873,0.585214,0.84,0.0,0.820363
783,estimated,,,0.508037,Restate,/restatedev/docs-restate,,3834,1189,349894,2026-01-24T08:41:06.783000Z,1mo,9.2,True,87.3,repo,https://github.com/restatedev/docs-restate,,0.32979,0.491705,0.673313,0.92,1.0,0.365871
